journal_name,pissn,eissn,impact_factor,best_quartile,all_quartiles
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,1520-4898,18.0,Q1,Q1
Accounts of Materials Research,,2643-6728,14.1,Q1,Q1
ACCREDITATION AND QUALITY ASSURANCE,0949-1775,1432-0517,1.1,Q4,Q4
ACE-Architecture City and Environment,1886-4805,1886-4805,0.9,Q4,Q4
ACERVO,0102-700X,2237-8723,0.1,Q3,Q3|Q4
ACG Case Reports Journal,,2326-3253,0.6,Q4,Q4
ACI MATERIALS JOURNAL,0889-325X,1944-737X,1.5,Q3,Q3|Q4
ACI STRUCTURAL JOURNAL,0889-3241,1944-7361,1.1,Q4,Q4
ACM Communications in Computer Algebra,1932-2232,1932-2240,0.3,Q4,Q4
ACM COMPUTING SURVEYS,0360-0300,1557-7341,30.4,Q1,Q1
ACM Journal of Data and Information Quality,1936-1955,1936-1955,5.0,Q2,Q2
ACM Journal on Computing and Cultural Heritage,1556-4673,1556-4711,3.1,Q3,Q3
ACM Journal on Emerging Technologies in Computing Systems,1550-4832,1550-4840,2.3,Q3,Q3|Q4
ACM SIGCOMM Computer Communication Review,0146-4833,1943-5819,3.5,Q2,Q2
ACM SIGecom Exchanges,1551-9031,1551-9031,0.9,Q4,Q4
ACM Transactions on Accessible Computing,1936-7228,1936-7236,3.6,Q2,Q2
ACM Transactions on Algorithms,1549-6325,1549-6333,1.4,Q2,Q2|Q3
ACM Transactions on Applied Perception,1544-3558,1544-3965,2.5,Q2,Q2
ACM Transactions on Architecture and Code Optimization,1544-3566,1544-3973,2.9,Q2,Q2|Q3
ACM Transactions on Asian and Low-Resource Language Information Processing,2375-4699,2375-4702,2.7,Q3,Q3
ACM Transactions on Autonomous and Adaptive Systems,1556-4665,1556-4703,5.2,Q1,Q1|Q2
ACM Transactions on Computation Theory,1942-3454,1942-3462,0.8,Q4,Q4
ACM Transactions on Computational Logic,1529-3785,1557-945X,1.1,Q1,Q1|Q3
ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,9.6,Q1,Q1
ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1557-7333,1.9,Q2,Q2
ACM Transactions on Computing Education,1946-6226,1946-6226,4.0,Q1,Q1
ACM Transactions on Computing for Healthcare,2691-1957,2637-8051,4.0,Q2,Q2
ACM Transactions on Cyber-Physical Systems,2378-962X,2378-9638,3.3,Q3,Q3
ACM TRANSACTIONS ON DATABASE SYSTEMS,0362-5915,1557-4644,1.6,Q3,Q3
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,1084-4309,1557-7309,2.8,Q2,Q2|Q3
ACM Transactions on Economics and Computation,2167-8375,2167-8383,1.3,Q4,Q4
ACM Transactions on Embedded Computing Systems,1539-9087,1558-3465,3.6,Q2,Q2
ACM TRANSACTIONS ON GRAPHICS,0730-0301,1557-7368,13.0,Q1,Q1
ACM Transactions on Human-Robot Interaction,,2573-9522,7.0,Q1,Q1
ACM TRANSACTIONS ON INFORMATION SYSTEMS,1046-8188,1558-2868,11.2,Q1,Q1
ACM Transactions on Intelligent Systems and Technology,2157-6904,2157-6912,10.7,Q1,Q1
ACM Transactions on Interactive Intelligent Systems,2160-6455,2160-6463,6.4,Q1,Q1
ACM Transactions on Internet of Things,2691-1914,2577-6207,4.3,Q2,Q2
ACM Transactions on Internet Technology,1533-5399,1557-6051,5.1,Q1,Q1|Q2
ACM Transactions on Knowledge Discovery from Data,1556-4681,1556-472X,6.9,Q1,Q1
ACM Transactions on Management Information Systems,2158-656X,2158-6578,5.2,Q2,Q2
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,1557-7295,2.0,Q1,Q1|Q3
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,1.4,Q2,Q2|Q4
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2376-3639,2376-3647,1.7,Q3,Q3
ACM Transactions on Multimedia Computing Communications and Applications,1551-6857,1551-6865,5.6,Q1,Q1
ACM Transactions on Parallel Computing,2329-4949,2329-4957,1.7,Q3,Q3
ACM Transactions on Privacy and Security,2471-2566,2471-2574,4.0,Q2,Q2
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925,1558-4593,2.9,Q2,Q2
ACM Transactions on Quantum Computing,2643-6809,2643-6817,6.1,Q1,Q1
ACM Transactions on Reconfigurable Technology and Systems,1936-7406,1936-7414,3.0,Q3,Q3
ACM Transactions on Sensor Networks,1550-4859,1550-4867,4.7,Q2,Q2
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,1557-7392,6.9,Q1,Q1
ACM Transactions on Spatial Algorithms and Systems,2374-0353,2374-0361,2.9,Q3,Q3
ACM Transactions on Storage,1553-3077,1553-3093,3.6,Q2,Q2
ACM Transactions on the Web,1559-1131,1559-114X,4.9,Q1,Q1|Q2
ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,0001-494X,2282-0035,<0.1,,
ACOUSTICAL PHYSICS,1063-7710,1562-6865,0.9,Q4,Q4
Acoustical Science and Technology,1346-3969,1347-5177,0.9,Q4,Q4
Acoustics,,2624-599X,1.5,Q3,Q3
Acoustics Australia,0814-6039,1839-2571,1.3,Q3,Q3
Acque Sotterranee-Italian Journal of Groundwater,1828-454X,1828-454X,1.7,Q4,Q4
ACR Open Rheumatology,,2578-5745,2.9,Q2,Q2
Across Languages and Cultures,1585-1923,1588-2519,0.9,Q3,Q3
ACS Agricultural Science & Technology,,2692-1952,3.4,Q2,Q2
ACS Applied Bio Materials,2576-6422,2576-6422,5.6,Q2,Q2
ACS Applied Electronic Materials,,2637-6113,4.7,Q2,Q2
ACS Applied Energy Materials,2574-0962,,5.5,Q2,Q2
ACS Applied Engineering Materials,2771-9545,2771-9545,3.5,Q3,Q3
ACS Applied Materials & Interfaces,1944-8244,1944-8252,7.8,Q1,Q1|Q2
ACS Applied Nano Materials,,2574-0970,5.8,Q2,Q2
ACS Applied Optical Materials,2771-9855,2771-9855,3.4,Q2,Q2|Q3
ACS Applied Polymer Materials,2637-6105,2637-6105,5.2,Q1,Q1|Q2
ACS Bio & Med Chem Au,,2694-2437,3.5,Q2,Q2
ACS Biomaterials Science & Engineering,2373-9878,2373-9878,6.0,Q2,Q2
ACS Catalysis,2155-5435,2155-5435,13.6,Q1,Q1
ACS Central Science,2374-7943,2374-7951,11.1,Q1,Q1
ACS Chemical Biology,1554-8929,1554-8937,3.6,Q2,Q2
ACS Chemical Health & Safety,,1878-0504,3.8,Q1,Q1
ACS Chemical Neuroscience,1948-7193,1948-7193,4.5,Q2,Q2
ACS Earth and Space Chemistry,2472-3452,2472-3452,2.6,Q2,Q2|Q3
ACS Energy Letters,2380-8195,2380-8195,17.5,Q1,Q1
ACS Engineering Au,,2694-2488,9.0,Q1,Q1
ACS Environmental Au,,2694-2518,9.6,Q1,Q1
ACS ES&T Engineering,,2690-0645,6.3,Q2,Q2
ACS ES&T Water,,2690-0637,4.5,Q1,Q1|Q2
ACS Food Science & Technology,,2692-1944,3.0,Q3,Q3
ACS Infectious Diseases,2373-8227,,4.5,Q1,Q1|Q2
ACS Macro Letters,,2161-1653,4.9,Q2,Q2
ACS Materials Au,2694-2461,2694-2461,9.1,Q1,Q1
ACS Materials Letters,,2639-4979,8.6,Q1,Q1
ACS Measurement Science Au,,2694-250X,14.7,Q1,Q1
ACS Medicinal Chemistry Letters,1948-5875,,3.9,Q2,Q2
ACS Nano,1936-0851,1936-086X,17.3,Q1,Q1
ACS Nanoscience Au,,2694-2496,7.5,Q2,Q2
ACS Omega,2470-1343,2470-1343,5.2,Q2,Q2
ACS Organic & Inorganic Au,2694-247X,2694-247X,5.2,Q2,Q2
ACS Pharmacology & Translational Science,,2575-9108,4.0,Q2,Q2
ACS Photonics,2330-4022,,6.0,Q1,Q1|Q2
ACS Physical Chemistry Au,,2694-2445,4.8,Q2,Q2
ACS Polymers Au,,2694-2453,6.7,Q1,Q1
ACS Sensors,2379-3694,2379-3694,10.9,Q1,Q1
ACS Sustainable Chemistry & Engineering,2168-0485,2168-0485,7.6,Q1,Q1|Q2
ACS Synthetic Biology,2161-5063,,4.5,Q1,Q1
ACSMS HEALTH & FITNESS JOURNAL,1091-5397,1536-593X,1.9,Q3,Q3
ACTA ACUSTICA,,2681-4617,1.4,Q3,Q3
ACTA ADRIATICA,0001-5113,1846-0453,1.3,Q3,Q3|Q4
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0906-4702,1651-1972,1.5,Q3,Q3
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,0906-4710,1651-1913,1.6,Q3,Q3|Q4
ACTA AGROBOTANICA,0065-0951,2300-357X,0.8,Q4,Q4
ACTA ALIMENTARIA,0139-3006,1588-2535,1.8,Q3,Q3|Q4
ACTA AMAZONICA,0044-5967,1809-4392,1.6,Q2,Q2|Q3
ACTA ANAESTHESIOLOGICA BELGICA,0001-5164,2736-5239,0.4,Q4,Q4
ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172,1399-6576,1.9,Q2,Q2
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,0353-5150,1874-6349,0.4,,
Acta Angiologica,1234-950X,1644-3276,0.4,Q4,Q4
ACTA APPLICANDAE MATHEMATICAE,0167-8019,1572-9036,1.3,Q2,Q2
ACTA ARCHAEOLOGICA,0065-101X,1600-0390,0.6,,
ACTA ARITHMETICA,0065-1036,1730-6264,0.5,Q3,Q3
ACTA ASTRONAUTICA,0094-5765,1879-2030,3.7,Q1,Q1
ACTA ASTRONOMICA,0001-5237,0001-5237,1.4,Q3,Q3
Acta Balneologica,2082-1867,2082-1867,0.6,Q4,Q4
Acta Baltico-Slavica,0065-1044,2392-2389,<0.1,,
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,1672-9145,1745-7270,4.5,Q1,Q1|Q2
ACTA BIOCHIMICA POLONICA,,1734-154X,2.2,Q4,Q4
Acta Bioclinica,2244-8136,2244-8136,0.1,Q4,Q4
Acta Bioethica,0717-5906,1726-569X,0.2,Q4,Q4
ACTA BIOLOGICA COLOMBIANA,0120-548X,1900-1649,0.4,Q4,Q4
Acta Biomaterialia,1742-7061,1878-7568,10.4,Q1,Q1
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0325-2957,1851-6114,<0.1,Q4,Q4
ACTA BIOTHEORETICA,0001-5342,1572-8358,1.3,Q4,Q4
Acta Borealia,0800-3831,1503-111X,1.0,,
Acta Botanica Brasilica,0102-3306,1677-941X,1.3,Q3,Q3
ACTA BOTANICA CROATICA,0365-0588,1847-8476,1.0,Q4,Q4
Acta Botanica Mexicana,,2448-7589,1.1,Q3,Q3
ACTA CARDIOLOGICA,0001-5385,1784-973X,4.0,Q2,Q2
Acta Cardiologica Sinica,1011-6842,1011-6842,1.9,Q3,Q3
ACTA CARSOLOGICA,0583-6050,1580-2612,0.6,Q4,Q4
Acta Chemica Iasi,2067-2438,2067-2446,0.4,Q4,Q4
ACTA CHIMICA SINICA,0567-7351,,2.3,Q3,Q3
Acta Chimica Slovaca,1337-978X,1339-3065,1.0,Q4,Q4
ACTA CHIMICA SLOVENICA,1318-0207,1580-3155,1.2,Q4,Q4
ACTA CHIROPTEROLOGICA,1508-1109,1733-5329,1.5,Q2,Q2
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,0001-5415,0001-5415,0.6,Q4,Q4
ACTA CHIRURGICA BELGICA,0001-5458,2577-0160,0.9,Q4,Q4
ACTA CHROMATOGRAPHICA,1233-2356,2083-5736,1.2,Q4,Q4
Acta Cirurgica Brasileira,0102-8650,1678-2674,1.6,Q3,Q3
Acta Classica,0065-1141,2227-538X,<0.1,,
ACTA CLINICA BELGICA,1784-3286,2295-3337,1.4,Q2,Q2
Acta Clinica Croatica,0353-9466,1333-9451,0.5,Q3,Q3
Acta Colombiana de Psicologia,0123-9155,1909-9711,0.7,Q4,Q4
Acta Crystallographica A-Foundation and Advances,2053-2733,2053-2733,2.1,Q3,Q3
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,,2052-5206,2.5,Q2,Q2|Q3
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,2053-2296,2053-2296,1.1,Q3,Q3|Q4
Acta Crystallographica Section D-Structural Biology,2059-7983,2059-7983,4.3,Q1,Q1|Q2
Acta Crystallographica Section E-Crystallographic Communications,2056-9890,2056-9890,0.5,Q4,Q4
Acta Crystallographica Section F-Structural Biology Communications,,2053-230X,1.1,Q3,Q3|Q4
Acta Cybernetica,0324-721X,0324-721X,0.7,Q4,Q4
ACTA CYTOLOGICA,0001-5547,1938-2650,1.5,Q3,Q3
ACTA DERMATO-VENEREOLOGICA,0001-5555,1651-2057,3.8,Q1,Q1
Acta Dermatovenerologica Alpina Pannonica et Adriatica,1318-4458,1581-2979,1.0,Q4,Q4
Acta Dermatovenerologica Croatica,1330-027X,1847-6538,0.6,Q4,Q4
ACTA DIABETOLOGICA,0940-5429,1432-5233,3.1,Q3,Q3
Acta Ecologica Sinica,1872-2032,1872-2032,14.2,Q1,Q1
Acta Endocrinologica-Bucharest,1841-0987,1843-066X,0.8,Q4,Q4
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,0374-1036,1804-6487,0.8,Q3,Q3
Acta Epileptologica,2096-9384,2524-4434,2.6,Q3,Q3
Acta et Commentationes Universitatis Tartuensis de Mathematica,1406-2283,2228-4699,0.5,Q3,Q3
ACTA ETHOLOGICA,0873-9749,1437-9546,1.3,Q2,Q2|Q4
Acta Facultatis Medicae Naissensis,0351-6083,2217-2521,0.1,Q4,Q4
Acta Facultatis Xylologiae Zvolen,1336-3824,1336-3824,0.7,Q4,Q4
ACTA GASTRO-ENTEROLOGICA BELGICA,1784-3227,1784-3227,1.2,Q4,Q4
Acta Geochimica,2096-0956,2365-7499,1.4,Q3,Q3
Acta Geodaetica et Geophysica,2213-5812,2213-5820,2.6,Q2,Q2
Acta Geodynamica et Geomaterialia,1214-9705,,0.9,Q4,Q4
Acta Geographica Slovenica-Geografski Zbornik,1581-6613,1581-8314,1.6,Q3,Q3
ACTA GEOLOGICA POLONICA,0001-5709,2300-1887,0.9,Q3,Q3
ACTA GEOLOGICA SINICA-ENGLISH EDITION,1000-9515,1755-6724,2.1,Q3,Q3
Acta Geophysica,1895-6572,1895-7455,2.4,Q2,Q2
Acta Geotechnica,1861-1125,1861-1133,6.5,Q1,Q1
Acta Germanica-German studies in Africa,0065-1273,0065-1273,0.1,,
Acta Gymnica,2336-4912,2336-4920,0.9,Q4,Q4
ACTA HAEMATOLOGICA,0001-5792,1421-9662,2.8,Q2,Q2
ACTA HAEMATOLOGICA POLONICA,0001-5814,2300-7117,0.6,Q4,Q4
Acta Herpetologica,1827-9635,1827-9643,1.0,Q3,Q3
ACTA HISTOCHEMICA,0065-1281,1618-0372,2.9,Q3,Q3
ACTA HISTOCHEMICA ET CYTOCHEMICA,0044-5991,1347-5800,1.9,Q4,Q4
Acta Historica Tallinnensia,1406-2925,1736-7476,0.5,Q1,Q1
Acta Historica Universitatis Klaipedensis,1392-4095,2351-6526,0.1,Q3,Q3
Acta Histriae,1318-0185,2591-1767,0.4,Q2,Q2
ACTA ICHTHYOLOGICA ET PISCATORIA,0137-1592,1734-1515,1.3,Q2,Q2|Q3
Acta IMEKO,0237-028X,2221-870X,0.9,Q4,Q4
Acta Infologica,,2602-3563,0.6,Q4,Q4
ACTA INFORMATICA,0001-5903,1432-0525,1.2,Q4,Q4
Acta Informatica Pragensia,,1805-4951,1.5,Q2,Q2|Q4
Acta Kinesiologica,1840-2976,1840-3700,2.4,Q2,Q2
Acta Koreana,1520-7412,,0.2,,
Acta Linguistica Academica,2559-8201,2560-1016,0.3,Q4,Q4
Acta Literaria,0717-6848,0717-6848,0.1,,
Acta Logistica,,1339-5629,1.0,Q4,Q4
ACTA MATERIALIA,1359-6454,1873-2453,10.7,Q1,Q1
ACTA MATHEMATICA,0001-5962,1871-2509,7.3,Q1,Q1
ACTA MATHEMATICA HUNGARICA,0236-5294,1588-2632,0.6,Q3,Q3
ACTA MATHEMATICA SCIENTIA,0252-9602,1572-9087,1.0,Q2,Q2
ACTA MATHEMATICA SINICA-ENGLISH SERIES,1439-8516,1439-7617,0.9,Q2,Q2|Q3
Acta Mathematica Universitatis Comenianae,0231-6986,0862-9544,0.6,Q3,Q3
Acta Mathematica Vietnamica,0251-4184,2315-4144,0.6,Q3,Q3
Acta Mathematicae Applicatae Sinica-English Series,0168-9673,1618-3932,0.9,Q3,Q3
ACTA MECHANICA,0001-5970,1619-6937,4.0,Q1,Q1
Acta Mechanica et Automatica,1898-4088,2300-5319,1.3,Q4,Q4
ACTA MECHANICA SINICA,0567-7718,1614-3116,4.0,Q1,Q1
ACTA MECHANICA SOLIDA SINICA,0894-9166,1860-2134,2.6,Q2,Q2|Q3
Acta Medica Indonesiana,0125-9326,2338-2732,0.6,Q3,Q3
Acta Medica Lituanica,1392-0138,2029-4174,0.6,Q3,Q3
ACTA MEDICA OKAYAMA,0386-300X,0386-300X,0.8,Q4,Q4
Acta Medica Portuguesa,0870-399X,1646-0758,1.2,Q2,Q2
Acta Medico-Historica Adriatica,1334-4366,1334-6253,0.1,Q4,Q4
ACTA METALLURGICA SINICA,0412-1961,,2.2,Q2,Q2
Acta Metallurgica Sinica-English Letters,1006-7191,2194-1289,4.2,Q1,Q1
Acta Metallurgica Slovaca,1335-1532,1338-1156,1.7,Q3,Q3
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,1217-8950,1588-2640,1.5,Q4,Q4
Acta Montanistica Slovaca,1335-1788,,0.7,Q4,Q4
Acta Naturae,2075-8251,2075-8251,1.5,Q4,Q4
Acta Neophilologica,0567-784X,2350-417X,0.1,,
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,0065-1400,1689-0035,1.9,Q4,Q4
ACTA NEUROCHIRURGICA,0001-6268,0942-0940,1.9,Q2,Q2|Q3
ACTA NEUROLOGICA BELGICA,0300-9009,2240-2993,2.0,Q3,Q3|Q4
ACTA NEUROLOGICA SCANDINAVICA,0001-6314,1600-0404,1.1,Q4,Q4
ACTA NEUROPATHOLOGICA,0001-6322,1432-0533,10.3,Q1,Q1
Acta Neuropathologica Communications,2051-5960,2051-5960,6.5,Q1,Q1
ACTA NEUROPSYCHIATRICA,0924-2708,1601-5215,2.4,Q3,Q3
Acta Neuropsychologica,1730-7503,2084-4298,1.2,Q4,Q4
ACTA NUMERICA,0962-4929,1474-0508,12.8,Q1,Q1
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,0001-6349,1600-0412,3.5,Q1,Q1
ACTA OCEANOLOGICA SINICA,0253-505X,1869-1099,1.4,Q4,Q4
ACTA ODONTOLOGICA SCANDINAVICA,0001-6357,1502-3850,1.7,Q3,Q3
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146-609X,1873-6238,1.8,Q3,Q3
ACTA OECONOMICA,0001-6373,1588-2659,0.4,Q4,Q4
Acta of Bioengineering and Biomechanics,1509-409X,2450-6303,1.0,Q4,Q4
ACTA ONCOLOGICA,0284-186X,1651-226X,2.7,Q3,Q3
ACTA OPHTHALMOLOGICA,1755-375X,1755-3768,3.0,Q2,Q2
ACTA OPTICA SINICA,0253-2239,0253-2239,1.7,Q3,Q3
Acta Orientalia Academiae Scientiarum Hungaricae,1588-2667,0001-6446,0.2,Q3,Q3
ACTA ORNITHOLOGICA,0001-6454,1734-8471,1.2,Q2,Q2
Acta Orthopaedica,1745-3674,1745-3682,3.4,Q1,Q1
Acta Orthopaedica Belgica,0001-6462,0001-6462,0.7,Q4,Q4
Acta Orthopaedica et Traumatologica Turcica,1017-995X,2589-1294,1.7,Q3,Q3
Acta Ortopedica Brasileira,1413-7852,1809-4406,0.6,Q4,Q4
ACTA OTO-LARYNGOLOGICA,0001-6489,1651-2251,1.3,Q3,Q3
Acta Oto-Laryngologica Case Reports,2377-2484,2377-2484,0.2,Q4,Q4
Acta Otorhinolaryngologica Italica,0392-100X,1827-675X,2.2,Q1,Q1
Acta Otorrinolaringologica Espanola,0001-6519,1988-3013,1.2,Q3,Q3
ACTA PAEDIATRICA,0803-5253,1651-2227,1.8,Q2,Q2
ACTA PALAEONTOLOGICA POLONICA,0567-7920,1732-2421,1.8,Q2,Q2
ACTA PARASITOLOGICA,1230-2821,1896-1851,1.5,Q2,Q2|Q3
Acta Paulista de Enfermagem,0103-2100,1982-0194,0.9,Q4,Q4
Acta Pediatrica de Mexico,0186-2391,2395-8235,0.2,Q4,Q4
ACTA PETROLOGICA SINICA,1000-0569,2095-8927,2.5,Q1,Q1
ACTA PHARMACEUTICA,1330-0075,1846-9558,1.8,Q3,Q3
Acta Pharmaceutica Sinica B,2211-3835,2211-3843,14.6,Q1,Q1
ACTA PHARMACOLOGICA SINICA,1671-4083,1745-7254,10.4,Q1,Q1
Acta Philosophica,1121-2179,1825-6562,0.2,,
Acta Phlebologica,1593-232X,1827-1766,0.2,Q4,Q4
Acta Photonica Sinica,1004-4213,1004-4213,0.7,Q4,Q4
ACTA PHYSICA POLONICA A,0587-4246,1898-794X,0.5,Q4,Q4
ACTA PHYSICA POLONICA B,0587-4254,1509-5770,1.0,Q3,Q3
ACTA PHYSICA SINICA,1000-3290,,1.0,Q3,Q3
ACTA PHYSICO-CHIMICA SINICA,1000-6818,1000-6818,13.5,Q1,Q1
ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,1861-1664,2.3,Q2,Q2
Acta Physiologica,1748-1708,1748-1716,5.7,Q1,Q1
Acta Phytotaxonomica et Geobotanica,1346-7565,2189-7042,0.4,Q4,Q4
Acta Poetica,0185-3082,2448-735X,0.1,,
Acta Politica,0001-6810,1741-1416,1.9,Q2,Q2
ACTA POLONIAE HISTORICA,0001-6829,0001-6829,0.3,Q2,Q2
ACTA POLONIAE PHARMACEUTICA,0001-6837,2353-5288,0.6,Q4,Q4
ACTA POLYMERICA SINICA,,1000-3304,1.2,Q4,Q4
Acta Polytechnica,,1805-2363,0.7,Q4,Q4
